T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
0,20,28293,7,1960854,0,0,651,26041,0,996,8607,673476
0,39,19328,4,1076149,0,0,579,25137,0,12,7493,352146
0,11,17299,2,1334649,0,0,170,41409,0,121,5433,486710
0,7,15164,3,1095225,0,0,230,16993,0,265,5405,390142
0,78,12923,3,1133084,0,0,231,16755,0,919,3915,392391
0,17,21310,11,1723320,0,0,818,38825,0,266,6641,646359
0,26,9561,0,726732,0,0,156,7538,0,160,3896,238212
0,11,46929,3,1890415,0,0,112,15202,0,1472,10578,708083
0,195,26384,6,1595148,0,0,352,9410,0,295,7457,465196
0,16,25233,10,1832304,0,0,178,7588,0,1131,8042,656962
0,20,24184,11,1518824,0,0,224,13818,0,514,6962,516529
0,285,24854,6,1462709,0,0,721,19638,0,707,7443,522877
1,46,22722,5,1147125,0,0,638,30607,0,159,7074,394388
0,0,27450,9,1399901,0,0,957,15688,0,403,7680,458132
2,12,46071,17,2254334,0,0,247,16895,0,398,12107,676737
2,69,26144,10,1737272,0,0,503,20744,0,475,6300,491120
6,0,20301,2,955618,0,0,269,24231,0,197,5392,304249
0,0,38433,8,2507964,0,1,490,18860,0,8484,11758,1204518
0,0,60956,22,3111012,0,0,943,35393,0,6008,15972,1600499
0,0,29918,7,2937291,0,0,653,32557,0,1844,8557,1807668
2,97,57644,52,2993985,0,0,580,30029,0,385,12565,1048889
0,44,23289,7,1498082,0,0,286,20992,0,353,6063,632235
0,62,35026,30,2422070,0,0,879,45374,0,518,9064,1241388
3,64,50055,35,2432040,0,0,690,17625,0,629,12541,1002826
0,0,35406,20,1869787,0,0,484,17897,0,749,9143,628931
0,25,35010,17,1720490,0,0,2234,68645,0,124,8901,603313
0,40,20805,5,1677295,0,0,224,14847,0,152,5576,607562
0,17,25136,15,1840942,0,0,419,15205,0,231,5568,798997
0,0,36411,10,1611288,0,0,535,39331,0,79,7882,518361
0,15,29838,7,1980620,0,0,452,15793,0,36,7827,803364
0,52,35694,4,1297321,0,0,479,18332,0,125,8627,650697
0,29,27672,11,1793946,0,0,739,30744,0,14,5424,822754
0,0,33600,15,1876915,0,0,1079,70469,0,790,6811,685904
0,201,50381,14,2676078,0,0,821,55925,0,1024,10904,1190602
0,94,46026,20,2520923,0,0,1171,71196,0,383,8924,779368
0,29,25637,4,1413418,0,0,484,53987,0,293,5393,696665
0,96,62856,30,3241259,0,0,547,34075,0,2115,12012,1421317
0,40,39957,22,2467525,0,0,685,27234,0,628,7814,1212467
0,28,35546,14,1975151,0,0,609,32230,0,535,6757,749014
0,59,32929,15,1922293,0,0,713,40194,0,25,5784,539946
0,174,31491,9,2092501,0,0,427,22906,0,1019,6796,887278
0,1,40685,20,3025677,0,0,886,140053,0,1637,6734,1094373
0,19,23654,17,1870171,0,0,376,45206,0,2,3492,400095
16,24,53770,49,4443462,0,0,302,38774,0,752,10455,1893794
0,24,37992,31,2093910,0,0,451,40112,0,4396,7714,570308
1,65,19844,7,1412541,0,0,369,30597,0,783,5067,544421
0,1,31324,9,1390735,0,0,460,71099,0,12197,6793,357853
0,19,28415,13,1735963,0,0,902,34629,0,38579,7644,544188
0,82,25967,12,1328505,0,0,407,32580,0,22563,5675,328891
0,25,27460,7,977173,0,0,544,68431,0,1002,4248,221423
0,27,5033,2,125645,0,0,74,5712,0,5042,1641,99689
0,46,26470,14,1643724,0,0,153,21178,0,3921,5896,659270
0,85,32897,12,1420356,0,0,560,27355,0,10689,9104,627242
1,108,44990,7,1532246,0,0,588,30602,0,13546,9119,642055
0,44,52610,13,2775302,0,0,1351,82459,0,18469,14934,1439611
0,0,21993,1,927085,0,0,808,19780,0,11664,6710,473493
2,77,37878,8,2042463,0,0,335,19928,0,15299,9172,1002363
0,26,25634,10,1757582,0,0,218,9896,0,10870,5713,815278
0,65,30406,3,2016979,0,0,220,25296,0,90142,8012,973621
0,28,22494,6,1602813,0,0,377,22112,0,105455,6219,742320
2,13,25007,3,2555388,0,0,485,14837,0,144391,6684,1407446
0,144,34764,2,2167635,0,0,591,28914,0,129537,9623,1127365
