T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
5,24792,126760,76,2649768,0,0,5788,217371,0,3552,90570,2979733
0,26025,190301,85,3392934,0,0,8993,369171,0,5588,134510,3827449
0,26024,165809,71,2735230,0,0,8743,285662,0,18919,127652,3131641
2,24363,133985,56,2654235,0,0,7010,278758,0,10804,99331,3025428
2,23914,163361,66,2943564,0,0,15317,448911,0,15253,121202,3364461
0,19848,128596,50,2395409,0,0,6473,271884,0,9828,93837,2752240
0,22544,126802,28,1789913,0,0,8753,244236,0,8349,94214,2026614
0,22312,144960,22,2165413,0,0,7176,219854,0,507,105638,2497407
4,25964,174170,66,3117274,0,0,7541,205553,0,8632,119301,3238934
4,29596,176911,82,3621177,0,0,11214,395301,0,13920,124438,3653361
3,23009,142872,52,2224922,0,0,6775,168286,0,9749,97870,2366154
1,29792,214972,91,3915668,0,0,10781,300449,0,15233,142075,3991331
0,47167,250675,105,6154910,0,0,8821,285604,0,24780,177274,2494094
5,35855,223301,61,5258861,0,0,8731,275899,0,16267,158296,2028932
5,27620,167289,27,3198159,0,0,11042,213101,0,1400,113536,1803976
2,20390,114370,39,2180068,0,0,6222,215260,0,6965,78287,2308366
2,25993,150785,29,2109490,0,0,8534,195840,0,8533,108442,2411605
24,26974,141449,27,2289223,0,0,8017,180860,0,6637,98239,2588592
4,19730,97853,31,1906239,0,0,6052,257039,0,5624,69713,2050854
0,19676,118711,25,1845390,0,0,7653,150411,0,4811,80221,2029487
0,27434,177522,33,2099240,0,0,11464,180281,0,7275,117724,2299849
2,24917,143212,50,2215376,0,0,6461,148862,0,4387,95407,2342471
4,20905,124921,41,2430339,0,0,7125,241469,0,10144,85945,2499156
1,28162,175544,50,2401742,0,0,19330,313512,0,9396,133940,2666230
10,24295,127754,32,1719385,0,0,5438,142286,0,6471,91593,1993981
4,19178,116086,13,1498907,0,0,4977,114639,0,4780,75849,1706892
2,19886,124819,14,1746219,0,0,4989,108464,0,6411,80699,1947243
12,21579,130254,18,1837331,0,0,6221,155951,0,6227,90114,2030038
0,26310,186392,43,2550083,0,0,12320,189855,0,7626,127106,2758254
6,30695,204741,68,2947086,0,0,12049,210317,0,2621,134076,3088647
0,35039,258137,78,3156594,0,0,11775,264594,0,12055,172743,3429025
10,39248,199591,42,4702101,0,0,10784,235833,0,10687,143120,1952876
10,33550,271115,83,3758400,0,0,10745,212988,0,7959,172602,3923721
9,27053,197729,40,4112482,0,0,14392,263543,0,9090,137813,1730089
0,25662,182990,26,2542515,0,0,10099,180966,0,7985,122471,2827560
0,24626,146868,51,2907702,0,0,7527,234850,0,4676,101812,3123798
4,30068,197894,59,2705677,0,0,8164,259702,0,6443,127053,2879276
2,29119,170950,32,3713615,0,0,19809,439207,0,8519,121317,1478375
13,85416,651698,193,8129684,0,0,63032,808860,0,28711,432147,3269334
6,62630,479386,147,8312547,0,0,20985,474613,0,30811,329861,3219451
3,42867,301448,88,3865630,0,0,15447,292267,0,8166,209142,4134661
4,34383,242250,48,2972561,0,0,17178,314911,0,2806,174763,3243615
0,40716,265409,40,5689268,0,0,14103,252677,0,3159,185773,2284840
6,29370,184711,34,2473890,0,0,9351,219574,0,860,133163,2660473
0,30440,201921,61,3506319,0,0,10135,202286,0,2626,134337,3544139
1,29084,201673,70,5459565,0,0,11773,319723,0,19618,136652,2096698
2,21919,162257,80,3419400,0,0,7008,188741,0,14541,117190,3304938
8,27985,202564,45,2563193,0,0,26718,548676,0,8654,145134,2724536
5,24875,130303,18,2076445,0,0,7332,227464,0,4918,90643,2129980
0,27959,159032,31,2098970,0,0,7535,184657,0,9969,104645,2173288
3,23582,140568,18,2133709,0,0,6970,156061,0,11056,94926,2267991
2,26229,147821,15,2840002,0,0,10926,256232,0,10832,104229,1125777
1,23694,132244,20,1734376,0,0,18528,312235,0,4441,88592,1872952
