timestamp,open,high,low,close,volume
31/03/2006,86.98,87.14,86.5,86.54,1169000
30/03/2006,87.14,87.29,86.59,86.9,1152000
29/03/2006,87.83,88.02,87.37,87.51,1071700
28/03/2006,88.4,88.43,87.84,87.93,1094900
27/03/2006,89.05,89.05,88.6,88.76,467100
24/03/2006,88.67,89.29,88.5,89.09,954600
23/03/2006,88.82,88.87,88.34,88.44,613400
22/03/2006,88.75,88.98,88.63,88.72,205500
21/03/2006,89.15,89.15,88.36,88.53,817200
20/03/2006,89.23,89.24,88.98,88.99,576000
17/03/2006,88.85,89,88.75,88.85,703500
16/03/2006,88.51,89.33,88.43,89.12,1048000
15/03/2006,88.44,88.54,88.15,88.32,970300
14/03/2006,88.45,88.99,88.45,88.8,904400
13/03/2006,88.09,88.27,88.01,88.21,1740100
10/03/2006,88.32,88.47,88.01,88.28,1085700
09/03/2006,88.56,88.67,88.27,88.61,282100
08/03/2006,88.57,88.88,88.45,88.58,1184700
07/03/2006,88.4,88.75,88.31,88.61,1692900
06/03/2006,88.98,88.99,88.5,88.55,872700
03/03/2006,89.48,89.55,89.23,89.33,1253300
02/03/2006,90.06,90.1,89.4,89.85,1640000
01/03/2006,90.77,90.87,90.38,90.48,713600
28/02/2006,91,91.44,90.92,91.03,744200
27/02/2006,91.35,91.35,90.73,90.9,441200
24/02/2006,91.44,91.44,90.95,91.05,485700
23/02/2006,91.31,91.31,90.93,91.19,288300
22/02/2006,91.18,91.45,91.09,91.42,559000
21/02/2006,90.9,91,90.78,90.8,433300
17/02/2006,90.8,91.07,90.8,90.95,730300
16/02/2006,90.2,90.3,90,90.23,427800
15/02/2006,90.14,90.47,89.88,90.21,720300
14/02/2006,89.9,90.2,89.72,89.99,836100
13/02/2006,90.24,90.36,90.16,90.31,218700
10/02/2006,91.2,91.38,90.24,90.3,938000
09/02/2006,90.14,90.9,90.06,90.8,1119100
08/02/2006,90.88,90.88,90.29,90.39,261700
07/02/2006,91.12,91.12,90.5,90.6,280500
06/02/2006,90.98,91.2099,90.89,91.03,755100
03/02/2006,90,91,89.82,90.85,1524600
02/02/2006,90.04,90.41,89.86,90.21,658500
01/02/2006,90.15,90.46,89.85,90.04,622300
